r,l,t,m,y,RateOfActivity
RE1,S101,IMPOIL,1,2039,20.5793
RE1,S102,IMPOIL,1,2039,20.5793
RE1,S103,IMPOIL,1,2039,20.5793
RE1,S104,IMPOIL,1,2039,20.5793
RE1,S105,IMPOIL,1,2039,20.5793
RE1,S106,IMPOIL,1,2039,20.5793
RE1,S107,IMPOIL,1,2039,20.5793
RE1,S108,IMPOIL,1,2039,20.5793
RE1,S101,IMPOIL,1,2040,67.4031
RE1,S102,IMPOIL,1,2040,67.4031
RE1,S103,IMPOIL,1,2040,67.4031
RE1,S104,IMPOIL,1,2040,67.4031
RE1,S105,IMPOIL,1,2040,67.4031
RE1,S106,IMPOIL,1,2040,67.4031
RE1,S107,IMPOIL,1,2040,67.4031
RE1,S108,IMPOIL,1,2040,67.4031
RE1,S101,IMPOIL,1,2041,97.917
RE1,S102,IMPOIL,1,2041,97.917
RE1,S103,IMPOIL,1,2041,97.917
RE1,S104,IMPOIL,1,2041,97.917
RE1,S105,IMPOIL,1,2041,97.917
RE1,S106,IMPOIL,1,2041,97.917
RE1,S107,IMPOIL,1,2041,97.917
RE1,S108,IMPOIL,1,2041,97.917
RE1,S101,IMPOIL,1,2042,123.0221
RE1,S102,IMPOIL,1,2042,123.0221
RE1,S103,IMPOIL,1,2042,123.0221
RE1,S104,IMPOIL,1,2042,123.0221
RE1,S105,IMPOIL,1,2042,123.0221
RE1,S106,IMPOIL,1,2042,123.0221
RE1,S107,IMPOIL,1,2042,123.0221
RE1,S108,IMPOIL,1,2042,123.0221
RE1,S101,IMPOIL,1,2043,142.3274
RE1,S102,IMPOIL,1,2043,142.3274
RE1,S103,IMPOIL,1,2043,142.3274
RE1,S104,IMPOIL,1,2043,142.3274
RE1,S105,IMPOIL,1,2043,142.3274
RE1,S106,IMPOIL,1,2043,142.3274
RE1,S107,IMPOIL,1,2043,142.3274
RE1,S108,IMPOIL,1,2043,142.3274
RE1,S101,IMPOIL,1,2044,125.098
RE1,S102,IMPOIL,1,2044,125.098
RE1,S103,IMPOIL,1,2044,125.098
RE1,S104,IMPOIL,1,2044,125.098
RE1,S105,IMPOIL,1,2044,125.098
RE1,S106,IMPOIL,1,2044,125.098
RE1,S107,IMPOIL,1,2044,125.098
RE1,S108,IMPOIL,1,2044,125.098
RE1,S101,IMPOIL,1,2045,106.8903
RE1,S102,IMPOIL,1,2045,106.8903
RE1,S103,IMPOIL,1,2045,106.8903
RE1,S104,IMPOIL,1,2045,106.8903
RE1,S105,IMPOIL,1,2045,106.8903
RE1,S106,IMPOIL,1,2045,106.8903
RE1,S107,IMPOIL,1,2045,106.8903
RE1,S108,IMPOIL,1,2045,106.8903
RE1,S101,IMPOIL,1,2046,87.2979
RE1,S102,IMPOIL,1,2046,87.2979
RE1,S103,IMPOIL,1,2046,87.2979
RE1,S104,IMPOIL,1,2046,87.2979
RE1,S105,IMPOIL,1,2046,87.2979
RE1,S106,IMPOIL,1,2046,87.2979
RE1,S107,IMPOIL,1,2046,87.2979
RE1,S108,IMPOIL,1,2046,87.2979
RE1,S101,IMPOIL,1,2047,101.5251
RE1,S103,IMPOIL,1,2047,101.5251
RE1,S104,IMPOIL,1,2047,61.2456
RE1,S105,IMPOIL,1,2047,101.5251
RE1,S106,IMPOIL,1,2047,67.4834
RE1,S107,IMPOIL,1,2047,101.5251
RE1,S101,IMPOIL,1,2048,61.1057
RE1,S102,IMPOIL,1,2048,23.2148
RE1,S103,IMPOIL,1,2048,61.1057
RE1,S104,IMPOIL,1,2048,45.4167
RE1,S105,IMPOIL,1,2048,61.1057
RE1,S106,IMPOIL,1,2048,45.4167
RE1,S107,IMPOIL,1,2048,61.1057
RE1,S108,IMPOIL,1,2048,5.6619
RE1,S101,IMPOIL,1,2049,28.4557
RE1,S102,IMPOIL,1,2049,15.2324
RE1,S103,IMPOIL,1,2049,28.4557
RE1,S104,IMPOIL,1,2049,28.4557
RE1,S105,IMPOIL,1,2049,28.4557
RE1,S106,IMPOIL,1,2049,28.4557
RE1,S107,IMPOIL,1,2049,28.4557
RE1,S101,MINBIO,1,2015,27.6641
RE1,S102,MINBIO,1,2015,27.6641
RE1,S103,MINBIO,1,2015,27.6641
RE1,S104,MINBIO,1,2015,27.6641
RE1,S105,MINBIO,1,2015,27.6641
RE1,S106,MINBIO,1,2015,27.6641
RE1,S107,MINBIO,1,2015,27.6641
RE1,S108,MINBIO,1,2015,27.6641
RE1,S101,MINBIO,1,2016,27.7044
RE1,S102,MINBIO,1,2016,27.7044
RE1,S103,MINBIO,1,2016,27.7044
RE1,S104,MINBIO,1,2016,27.7044
RE1,S105,MINBIO,1,2016,27.7044
RE1,S106,MINBIO,1,2016,27.7044
RE1,S107,MINBIO,1,2016,27.7044
RE1,S108,MINBIO,1,2016,27.7044
RE1,S101,MINBIO,1,2017,103.4348
RE1,S102,MINBIO,1,2017,103.4348
RE1,S103,MINBIO,1,2017,103.4348
RE1,S104,MINBIO,1,2017,103.4348
RE1,S105,MINBIO,1,2017,103.4348
RE1,S106,MINBIO,1,2017,103.4348
RE1,S107,MINBIO,1,2017,103.4348
RE1,S108,MINBIO,1,2017,103.4348
RE1,S101,MINBIO,1,2018,179.1675
RE1,S102,MINBIO,1,2018,179.1675
RE1,S103,MINBIO,1,2018,179.1675
RE1,S104,MINBIO,1,2018,179.1675
RE1,S105,MINBIO,1,2018,179.1675
RE1,S106,MINBIO,1,2018,179.1675
RE1,S107,MINBIO,1,2018,179.1675
RE1,S108,MINBIO,1,2018,179.1675
RE1,S101,MINBIO,1,2019,254.9026
RE1,S102,MINBIO,1,2019,254.9026
RE1,S103,MINBIO,1,2019,254.9026
RE1,S104,MINBIO,1,2019,254.9026
RE1,S105,MINBIO,1,2019,254.9026
RE1,S106,MINBIO,1,2019,254.9026
RE1,S107,MINBIO,1,2019,254.9026
RE1,S108,MINBIO,1,2019,254.9026
RE1,S101,MINBIO,1,2020,330.6402
RE1,S102,MINBIO,1,2020,330.6402
RE1,S103,MINBIO,1,2020,330.6402
RE1,S104,MINBIO,1,2020,330.6402
RE1,S105,MINBIO,1,2020,330.6402
RE1,S106,MINBIO,1,2020,330.6402
RE1,S107,MINBIO,1,2020,330.6402
RE1,S108,MINBIO,1,2020,330.6402
RE1,S101,MINBIO,1,2021,323.688
RE1,S102,MINBIO,1,2021,323.688
RE1,S103,MINBIO,1,2021,323.688
RE1,S104,MINBIO,1,2021,323.688
RE1,S105,MINBIO,1,2021,323.688
RE1,S106,MINBIO,1,2021,323.688
RE1,S107,MINBIO,1,2021,323.688
RE1,S108,MINBIO,1,2021,323.688
RE1,S101,MINBIO,1,2022,316.4172
RE1,S102,MINBIO,1,2022,316.4172
