r,t,y,SalvageValue
RE1,PWRBIO001,2042,15.7818
RE1,PWRBIO001,2043,33.4223
RE1,PWRBIO001,2044,51.4064
RE1,PWRBIO001,2045,20.6097
RE1,PWRBIO001,2046,36.2915
RE1,PWRBIO001,2047,238.271
RE1,PWRBIO001,2048,124.9046
RE1,PWRBIO001,2049,147.4222
RE1,PWRBIO001,2050,1281.0993
RE1,PWRBIO001,2051,139.4808
RE1,PWRBIO001,2052,195.2737
RE1,PWRBIO001,2053,832.6727
RE1,PWRBIO001,2054,651.594
RE1,PWRBIO001,2055,189.0485
RE1,PWRBIO001,2056,274.3474
RE1,PWRBIO001,2057,297.4374
RE1,PWRBIO001,2058,405.1652
RE1,PWRBIO001,2059,441.6195
RE1,PWRBIO001,2060,401.0256
RE1,PWRBIO001,2061,305.9676
RE1,PWRBIO001,2062,320.3761
RE1,PWRBIO001,2063,342.1979
RE1,PWRBIO001,2064,452.4584
RE1,PWRBIO001,2065,535.1797
RE1,PWRBIO001,2066,469.7554
RE1,PWRBIO001,2067,515.2545
RE1,PWRBIO001,2068,483.7459
RE1,PWRBIO001,2069,240.2044
RE1,PWRCOA001,2067,67.9914
RE1,PWRCOA001,2068,206.4113
RE1,PWRCOA001,2069,66.4949
RE1,PWRNGS001,2047,102.6467
RE1,PWRNGS001,2048,170.8888
RE1,PWRNGS001,2049,195.2518
RE1,PWRNGS001,2050,565.1173
RE1,PWRNGS001,2051,165.7522
RE1,PWRNGS001,2052,95.0902
RE1,PWRNGS001,2053,105.9445
RE1,PWRNGS001,2054,182.45
RE1,PWRNGS001,2055,130.4405
RE1,PWRNGS001,2056,209.9273
RE1,PWRNGS001,2057,305.5376
RE1,PWRNGS001,2059,184.8673
RE1,PWRNGS001,2060,98.1163
RE1,PWRNGS001,2062,94.9861
RE1,PWRNGS001,2066,255.3067
RE1,PWRNGS001,2067,327.0052
RE1,PWRNGS001,2068,197.8688
RE1,PWRSOL001,2048,7.7086
RE1,PWRSOL001,2049,102.4493
RE1,PWRSOL001,2050,184.9433
RE1,PWRSOL001,2051,29.1203
RE1,PWRSOL001,2052,44.4387
RE1,PWRSOL001,2053,54.0922
RE1,PWRSOL001,2054,64.0468
RE1,PWRSOL001,2055,67.2927
RE1,PWRSOL001,2056,77.3747
RE1,PWRSOL001,2057,87.8331
RE1,PWRSOL001,2058,208.3699
RE1,PWRSOL001,2059,145.6608
RE1,PWRSOL001,2060,135.3808
RE1,PWRSOL001,2061,123.6257
RE1,PWRSOL001,2062,135.1687
RE1,PWRSOL001,2063,147.2775
RE1,PWRSOL001,2064,159.995
RE1,PWRSOL001,2065,154.1975
RE1,PWRSOL001,2066,165.1266
RE1,PWRSOL001,2067,176.4548
RE1,PWRSOL001,2068,188.2046
RE1,PWRSOL001,2069,200.4094
RE1,PWRSOL001,2070,1710.6854
RE1,PWRHYD001,2022,30.3205
RE1,PWRHYD001,2051,606.2779
RE1,PWRHYD002,2051,193.6721
RE1,PWRHYD003,2022,16.4306
RE1,PWRWND001,2047,24.0975
RE1,PWRWND001,2048,25.5477
RE1,PWRWND001,2049,39.5372
RE1,PWRWND001,2050,406.8023
RE1,PWRWND001,2051,49.7782
RE1,PWRWND001,2052,60.0613
RE1,PWRWND001,2053,70.4724
RE1,PWRWND001,2054,81.0205
RE1,PWRWND001,2055,91.7159
RE1,PWRWND001,2056,102.5684
RE1,PWRWND001,2057,113.5858
RE1,PWRWND001,2058,124.7844
RE1,PWRWND001,2059,136.1685
RE1,PWRWND001,2060,1704.5298
RE1,PWRWND001,2061,213.5317
RE1,PWRSOL001S,2048,8.5905
RE1,PWRSOL001S,2049,98.3633
RE1,PWRSOL001S,2050,202.2661
RE1,PWRSOL001S,2051,26.395
RE1,PWRSOL001S,2052,154.677
RE1,PWRSOL001S,2053,59.4469
RE1,PWRSOL001S,2054,70.3869
RE1,PWRSOL001S,2055,73.9542
RE1,PWRSOL001S,2056,85.0342
